wateryear,tasmax,tair,tasmin,pr,baseflow,et,runoff,swe
2046,81.70866345080717,68.01390967107082,54.31651994977679,0.024927185988518112,0.018739830853663448,0.01789152394580565,0.002300757335545764,0.0
2047,80.30773522782013,66.64223992282398,52.966707713506025,0.0316174259794362,0.013642975885717602,0.014758826653912226,0.002868816813723373,0.0
2048,79.86863035108242,67.23409936662586,54.59940702844845,0.07928073245992694,0.049770425417603216,0.019100136193564994,0.010253371813565655,0.0
2049,79.38539731378438,66.9801333824576,54.567331141641745,0.06837453758530565,0.03963346280948995,0.02092621863699019,0.007448325523429771,0.0
2050,78.58270442596864,66.15744432103142,53.727539229719646,0.07562834422184764,0.03568141846597168,0.02213646189059222,0.009978593371852003,0.0
2051,79.3738082425889,66.59954585715512,53.826752996575394,0.05175819857694625,0.03396222388379672,0.02026377965250141,0.005659046635910441,0.0
2052,79.83372894787409,66.77299490287649,53.70101325363416,0.04234437094099027,0.017111026840502204,0.01881762386846514,0.003940214390651977,0.0
2053,81.28992063757502,68.03856231741712,54.781659955586534,0.03742316789352433,0.016759372561536506,0.019123416156395935,0.00382916953770762,0.0
2054,80.11190377849434,66.86405513044912,53.613589485900114,0.04181320381055693,0.02219000147975033,0.016030708727343187,0.004095476628956326,0.0
2055,81.17668711205069,67.93939422424526,54.695901129735674,0.03936470706055643,0.01619923968961801,0.019435226311221434,0.0035111486525927107,0.0
2056,80.56599758460885,68.04942414330647,55.52896010101817,0.04358947743028877,0.02162604951765395,0.017981083465018408,0.00410190618583206,0.0
2057,81.17815235712759,68.3491770535299,55.51423945178731,0.05154247171148828,0.023206695270138966,0.018239989990820892,0.00980343951786106,0.0
2058,82.59717087837126,68.89207967692856,55.186548135835835,0.07171830011428519,0.03627556507452452,0.016214824244517232,0.019521698189386483,0.0
2059,81.18497230843327,68.56436005683794,55.93445897768628,0.07770740910661825,0.0428331918569247,0.01937127035327984,0.015321385518883837,0.0
2060,82.19559693383401,68.31732851012806,54.43591755851375,0.02390980592284546,0.0073281844006137286,0.014776482611756517,0.0019406883177441492,0.0
2061,81.55136424443502,68.36708423928036,55.179741127327745,0.033788174539346016,0.016214605709922194,0.014682435961804309,0.003602667623582188,0.0
2062,83.37866873127147,69.85659274427863,56.33145280393845,0.03609375252648524,0.017155574239883748,0.01453832933494985,0.0035215074792271086,0.0
2063,81.9129590679849,68.43500282966924,54.96002856110878,0.021197832681756283,0.008821183207681377,0.011107665694735059,0.0018307590690940126,0.0
2064,82.10560449819104,69.17675155264429,56.2335365870742,0.04435590342970729,0.017454921270194334,0.019806158142544335,0.004486166894839903,0.0
2065,81.00501339429059,68.25926284424244,55.51692854371797,0.060117603630240206,0.03286421583049108,0.022968083550969413,0.006343982455685998,0.0
2066,81.11206462703346,68.40749886055515,55.69702079877464,0.05117573634571496,0.024923991025297017,0.021283090355740948,0.004858089427249084,0.0
2067,82.35449357542284,69.00226185445914,55.64155534300089,0.031857421750465,0.010508459853412257,0.015976162390496144,0.0025602603435545945,0.0
2068,83.58901559298164,69.9801278544254,56.37187186819614,0.04948423564577797,0.024469515250210894,0.020751329026194375,0.00722017030998012,0.0
2069,82.97912321743905,69.38508685147926,55.782794674390026,0.033200319977230705,0.013316707888323598,0.017347672576461082,0.0028776650096767487,0.0
2070,83.53016146725184,70.18404257264856,56.83744515196924,0.0481232055864169,0.026938625338321958,0.015476586810180076,0.005735864657214454,0.0
2071,81.08596908778372,68.0574399449074,55.024646230201235,0.05165842525878124,0.02863659009561478,0.016686679272867308,0.006181631310833895,0.0
2072,85.06686823610413,71.63186187587802,58.18945704725931,0.060157727979234486,0.03878818922881258,0.013517813802715802,0.007828309389284858,0.0
2073,81.00415465472506,68.69694291650431,56.37724577603277,0.06770308859427757,0.03326853910334788,0.025817137860763534,0.007481975832680399,0.0
2074,81.88730584131542,69.17025360264194,56.460695817503286,0.06967968349708137,0.041926348074174107,0.018661702903278524,0.009850396251874945,0.0
2075,76.61465370509941,63.84225708194402,51.08728560737944,0.05819927824652189,0.0066321754746528185,0.0057104427222671545,0.005971631227450027,0.0
