date,CNRM-CM5,CanESM2,HadGEM2-ES,MIROC5
2006-01-01,4.0,10.0,19.0,17.0
2007-01-01,6.0,4.0,21.0,35.0
2008-01-01,17.0,9.0,4.0,19.0
2009-01-01,4.0,7.0,2.0,12.0
2010-01-01,3.0,13.0,16.0,0.0
2011-01-01,3.0,7.0,3.0,4.0
2012-01-01,5.0,12.0,16.0,5.0
2013-01-01,16.0,12.0,0.0,10.0
2014-01-01,8.0,4.0,12.0,1.0
2015-01-01,9.0,4.0,7.0,7.0
2016-01-01,6.0,5.0,11.0,5.0
2017-01-01,9.0,8.0,9.0,12.0
2018-01-01,5.0,16.0,12.0,14.0
2019-01-01,10.0,11.0,8.0,15.0
2020-01-01,11.0,15.0,12.0,2.0
2021-01-01,5.0,23.0,19.0,8.0
2022-01-01,8.0,21.0,15.0,22.0
2023-01-01,7.0,12.0,9.0,17.0
2024-01-01,9.0,24.0,14.0,14.0
2025-01-01,13.0,18.0,25.0,5.0
2026-01-01,4.0,14.0,16.0,16.0
2027-01-01,9.0,12.0,27.0,6.0
2028-01-01,7.0,23.0,9.0,11.0
2029-01-01,12.0,10.0,13.0,24.0
2030-01-01,11.0,32.0,15.0,10.0
2031-01-01,14.0,8.0,20.0,1.0
2032-01-01,2.0,21.0,11.0,6.0
2033-01-01,10.0,27.0,5.0,6.0
2034-01-01,6.0,31.0,30.0,43.0
2035-01-01,15.0,15.0,9.0,31.0
2036-01-01,12.0,32.0,24.0,10.0
2037-01-01,15.0,26.0,11.0,23.0
2038-01-01,11.0,16.0,26.0,11.0
2039-01-01,27.0,17.0,18.0,17.0
2040-01-01,12.0,11.0,32.0,23.0
2041-01-01,15.0,31.0,15.0,12.0
2042-01-01,13.0,21.0,36.0,39.0
2043-01-01,13.0,41.0,35.0,11.0
2044-01-01,8.0,17.0,27.0,2.0
2045-01-01,11.0,36.0,18.0,38.0
2046-01-01,4.0,25.0,9.0,20.0
2047-01-01,9.0,9.0,21.0,16.0
2048-01-01,17.0,21.0,38.0,4.0
2049-01-01,12.0,13.0,26.0,2.0
2050-01-01,20.0,28.0,18.0,20.0
2051-01-01,21.0,13.0,29.0,22.0
2052-01-01,7.0,26.0,5.0,28.0
2053-01-01,15.0,24.0,19.0,35.0
2054-01-01,14.0,24.0,21.0,6.0
2055-01-01,10.0,36.0,26.0,9.0
2056-01-01,12.0,30.0,42.0,19.0
2057-01-01,9.0,27.0,23.0,21.0
2058-01-01,17.0,45.0,31.0,21.0
2059-01-01,7.0,14.0,42.0,18.0
2060-01-01,19.0,21.0,19.0,0.0
2061-01-01,13.0,49.0,2.0,19.0
2062-01-01,18.0,33.0,26.0,19.0
2063-01-01,12.0,23.0,30.0,21.0
2064-01-01,16.0,26.0,34.0,14.0
2065-01-01,11.0,22.0,34.0,9.0
2066-01-01,12.0,33.0,42.0,10.0
2067-01-01,16.0,18.0,31.0,43.0
2068-01-01,19.0,32.0,17.0,17.0
2069-01-01,11.0,19.0,41.0,1.0
2070-01-01,22.0,26.0,50.0,20.0
2071-01-01,19.0,38.0,41.0,28.0
2072-01-01,16.0,24.0,24.0,23.0
2073-01-01,30.0,31.0,17.0,27.0
2074-01-01,35.0,54.0,49.0,22.0
2075-01-01,10.0,41.0,56.0,27.0
2076-01-01,24.0,32.0,27.0,33.0
2077-01-01,12.0,21.0,14.0,41.0
2078-01-01,26.0,27.0,30.0,35.0
2079-01-01,28.0,24.0,31.0,31.0
2080-01-01,11.0,22.0,39.0,22.0
2081-01-01,24.0,19.0,60.0,60.0
2082-01-01,11.0,17.0,18.0,32.0
2083-01-01,23.0,26.0,45.0,42.0
2084-01-01,23.0,25.0,32.0,6.0
2085-01-01,18.0,18.0,45.0,20.0
2086-01-01,31.0,29.0,31.0,62.0
2087-01-01,5.0,28.0,35.0,12.0
2088-01-01,13.0,41.0,30.0,40.0
2089-01-01,14.0,33.0,25.0,19.0
2090-01-01,10.0,37.0,19.0,10.0
2091-01-01,28.0,22.0,41.0,21.0
2092-01-01,19.0,34.0,27.0,29.0
2093-01-01,10.0,28.0,37.0,22.0
2094-01-01,23.0,22.0,41.0,41.0
2095-01-01,41.0,25.0,38.0,40.0
2096-01-01,13.0,20.0,20.0,45.0
2097-01-01,11.0,18.0,32.0,31.0
2098-01-01,13.0,35.0,33.0,13.0
2099-01-01,29.0,25.0,14.0,20.0
2100-01-01,20.0,31.0,,
